Project,BugID,Class,GeneratedTests,GenerationSeconds,GenerationExitCode,BuggyCompile,FixedCompile,BuggyUTBotFails,FixedUTBotFails,UniqueBuggyFails,BugDetected,BuggyTestSeconds,FixedTestSeconds,DeveloperLinesCovered,DeveloperLinesTotal,DeveloperLineCoverage,DeveloperConditionsCovered,DeveloperConditionsTotal,DeveloperConditionCoverage,UTBotLinesCovered,UTBotLinesTotal,UTBotLineCoverage,UTBotConditionsCovered,UTBotConditionsTotal,UTBotConditionCoverage,CombinedLinesCovered,CombinedLinesTotal,CombinedLineCoverage,CombinedConditionsCovered,CombinedConditionsTotal,CombinedConditionCoverage,LineCoverageGain,ConditionCoverageGain,DeveloperCoverageSeconds,UTBotCoverageSeconds,CombinedCoverageSeconds,Status
Lang,11,org.apache.commons.lang3.RandomStringUtils,158,139.122,0,True,True,0,0,0,ERROR,1.568,1.695,,,,,,,,,,,,,,,,,,,,,,,,TEST_COMPILE_INCOMPATIBLE
Lang,12,org.apache.commons.lang3.RandomStringUtils,166,139.513,0,True,True,0,0,0,ERROR,1.633,1.575,,,,,,,,,,,,,,,,,,,,,,,,TEST_COMPILE_INCOMPATIBLE
Lang,13,org.apache.commons.lang3.SerializationUtils,56,129.905,0,True,True,0,0,0,ERROR,1.553,1.527,,,,,,,,,,,,,,,,,,,,,,,,TEST_COMPILE_INCOMPATIBLE
Lang,14,org.apache.commons.lang3.StringUtils,1260,103.608,0,True,True,0,0,0,ERROR,1.745,1.692,,,,,,,,,,,,,,,,,,,,,,,,TEST_COMPILE_INCOMPATIBLE
Lang,15,org.apache.commons.lang3.reflect.TypeUtils,0,213.588,1,True,True,0,0,0,ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,GENERATION_FAILED
Lang,16,org.apache.commons.lang3.math.NumberUtils,421,141.367,0,True,True,92,92,0,NO,17.329,16.836,359,375,95.7,303,358,84.6,295,375,78.7,221,358,61.7,363,375,96.8,314,358,87.7,1.1,3.1,20.723,8.916,19.459,COMPLETED
Lang,17,org.apache.commons.lang3.text.translate.CharSequenceTranslator,67,161.984,0,True,True,0,0,0,ERROR,1.731,1.694,,,,,,,,,,,,,,,,,,,,,,,,TEST_COMPILE_INCOMPATIBLE
Lang,20,org.apache.commons.lang3.StringUtils,1285,109.882,0,True,True,0,0,0,ERROR,2.477,2.554,,,,,,,,,,,,,,,,,,,,,,,,TEST_COMPILE_INCOMPATIBLE
Lang,21,org.apache.commons.lang3.time.DateUtils,415,150.019,0,True,True,0,0,0,ERROR,1.652,1.504,,,,,,,,,,,,,,,,,,,,,,,,TEST_COMPILE_INCOMPATIBLE
Lang,22,org.apache.commons.lang3.math.Fraction,313,141.639,0,True,True,0,0,0,ERROR,1.702,1.666,,,,,,,,,,,,,,,,,,,,,,,,TEST_COMPILE_INCOMPATIBLE
Lang,23,org.apache.commons.lang3.text.ExtendedMessageFormat,144,129.475,0,True,True,0,0,0,ERROR,1.648,1.901,,,,,,,,,,,,,,,,,,,,,,,,TEST_COMPILE_INCOMPATIBLE
Lang,26,org.apache.commons.lang3.time.FastDateFormat,103,159.374,0,True,True,0,0,0,ERROR,1.692,1.683,,,,,,,,,,,,,,,,,,,,,,,,TEST_COMPILE_INCOMPATIBLE
Lang,29,org.apache.commons.lang3.SystemUtils,1,28.586,0,True,True,0,0,0,NO,16.374,15.892,133,141,94.3,42,50,84.0,0,141,0.0,0,50,0.0,133,141,94.3,42,50,84.0,0.0,0.0,20.469,6.252,19.768,COMPLETED
Lang,30,org.apache.commons.lang3.StringUtils,992,102.881,0,True,True,0,0,0,ERROR,1.588,1.616,,,,,,,,,,,,,,,,,,,,,,,,TEST_COMPILE_INCOMPATIBLE
Lang,31,org.apache.commons.lang3.StringUtils,981,100.788,0,True,True,0,0,0,ERROR,1.816,1.666,,,,,,,,,,,,,,,,,,,,,,,,TEST_COMPILE_INCOMPATIBLE
Lang,33,org.apache.commons.lang3.ClassUtils,316,166.683,0,True,True,0,0,0,ERROR,1.536,1.574,,,,,,,,,,,,,,,,,,,,,,,,TEST_COMPILE_INCOMPATIBLE
Lang,34,org.apache.commons.lang3.builder.ToStringStyle,654,128.923,0,True,True,90,90,0,NO,17.249,16.633,464,515,90.1,189,216,87.5,0,515,0.0,0,216,0.0,464,515,90.1,189,216,87.5,0.0,0.0,20.652,9.906,19.535,COMPLETED
Lang,35,org.apache.commons.lang3.ArrayUtils,1022,89.172,0,True,True,0,0,0,ERROR,1.64,1.667,,,,,,,,,,,,,,,,,,,,,,,,TEST_COMPILE_INCOMPATIBLE
Lang,36,org.apache.commons.lang3.math.NumberUtils,438,151.599,0,True,True,97,97,0,NO,15.397,15.211,361,370,97.6,299,344,86.9,295,370,79.7,214,344,62.2,364,370,98.4,304,344,88.4,0.8,1.5,19.085,8.983,17.978,COMPLETED
Lang,38,org.apache.commons.lang3.time.FastDateFormat,106,134.575,0,True,True,0,0,0,ERROR,1.692,1.476,,,,,,,,,,,,,,,,,,,,,,,,TEST_COMPILE_INCOMPATIBLE
Lang,39,org.apache.commons.lang3.StringUtils,870,103.264,0,True,True,0,0,0,ERROR,1.636,1.622,,,,,,,,,,,,,,,,,,,,,,,,TEST_COMPILE_INCOMPATIBLE
